MisconceptionId,MisconceptionName
104,Assumes a sequence is linear
105,Mixes up sides of a ratio
106,Believes an arrowhead has four equal sides
107,"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket."
108,Uses only the first two terms of a sequence to work out a term-to-term rule
109,Thinks a factor of the final digit is also a factor of the whole number
110,Does not know how to find the length of a line segment from coordinates
111,Does not work out all possibilites when given an 'at least' question in probability
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1
113,Does not recognise difference of two squares
114,Does not know the meaning of the word parallel
115,Believes fraction to decimal conversion is done by writing the numerator as a decimal
116,Believes an outlier is determined by the number of decimal places a number has
117,"Believes that in completed square form, they need to change the signs of both values to get the turning point"
118,"Given a line segment with a midpoint that is not the origin, assumes that the two end points will still have the same absolute value"
119,Believes distance = speed + time
120,Does not understand equivalent fractions
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator
123,Rounds incorrectly when the nearest 10 is a multiple of 100
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel
125,Thinks the division sign means to add
126,Multiplies rather than adds when given the command word 'more'
127,Thinks the fraction to decimal conversion button on a calculator can be used to raise to a power
128,Does not understand how to read both x and y coordinates
129,Believes they can change only one side of a ratio and it will remain equivalent
130,"Believes that for a line written in the form ax + by = c, a is the gradient"
131,Does not think a number can be a factor of itself
132,Only considers the positive solution when calculating a square root
133,Believes dividing by a unit fraction is equivalent to dividing by its reciprocal
134,Misreads scale
135,Thinks the value of an exterior angle is 360 degrees
136,Does not recognise a reciprocal equation
137,Does not know the meaning of the word identity 
138,"When solving a problem using written division (bus-stop method), does the calculation from right to left"
139,Thinks triple means add three
140,Believes cumulative frequency is plotted at the lower bound of the class
141,"In completed square form, confuses the x and y coordinates of the turning point"
142,"When given a linear sequence, cannot match it to a visual pattern"
143,"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear"
144,Mixes up the x and y values of the coordinates
145,Does not know how to convert percentages with a decimal point into decimals
146,Has multiplied by the root power
147,Multiplies instead of dividing when distributing a total amount
148,Confuses theoretical and experimental probability
149,Believes P(success) in probability notation means the number of successes
150,Confuses written 'teen' numbers with their corresponding single-digit number
151,"When dividing decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant."
152,"Believes that the smaller a divisor is, the smaller the answer will be"
153,"When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places"
154,Assumes an angle has been split into equal parts
155,Forgets to apply inverse trigonometric function when finding an angle
156,Confuses the graph of a linear equation with a quadratic equation
157,Believes squared units can be used to measure lengths
158,"Believes addition comes before indices, in orders of operation"
159,Does not divide by 2 when calculating the area of a triangle
160,Believes that adding a positive to a negative makes your answer more negative
161,Answers as if there are 100 minutes in an hour when changing from hours to minutes
162,Uses first term as numerical part of nth term rule
163,Thinks only one variable can introduce bias
164,Does not reduce the denominator when an item is not replaced in a probability question
165,"Believes that in y=mx+c, m is the x-intercept"
166,"Believes that in completed square form, they need to change the sign of the constant to get the turning point"
167,Does not recognise factorising a quadratic
168,Believes composite function notation means to substitute the outer function into the inner function
169,"When subtracting a fraction from a mixed number, assumes they just subtract the numerator from the integer of the mixed number"
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount
171,"When simplifying surds, does not multiply the number in front of the surd with the square root of the largest square number that has been removed from the surd"
172,"When subtracting fractions, subtracts the numerators and denominators"
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. "
174,Confuses major and minor sector
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger"
176,Believes that a reciprocal equation is defined when the denominator is 0
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100"
178,Thinks that the 10 becomes a 20 when adding in standard form 
179,Does not understand the difference between a value on a graph and the gradient of a graph
180,Writes the digit 3 times instead of cubing
181,Assumes a ratio is part to part instead of part to whole
182,Believes parallel lines have gradients of opposite signs
183,Has confused cube numbers with prime numbers
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid
185,Thinks a positive y value in a column vector means to move down rather than up 
186,Does not understand the meaning of the word commutative 
187,Thinks there are 10cl in a litre
188,Believes interquartile range is the difference between one of the quartiles and the minimum value
189,"When multiplying decimals, ignores place value and just multiplies the digits"
190,"Does not account for grammar when writing algebra e.g. ,then making a group"
191,Believes that product means add rather than multiply
192,Does not know how to calculate the volume of a prism
193,Believes a cyclic quadrilateral can be self-intersecting
194,"Believes the sides of a square must be horizontal and vertical, not diagonal"
195,"When solving an equation, thinks the divisor and dividend are the opposite way around"
196,Confuses a variable with an equation
197,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean"
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits"
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power"
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated"
201,Believes substituting the starting value into an iteration formula immediately gives the solution
202,"When asked to add fractions, multiplies instead"
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers
204,Confuses scalene and equilateral triangles
205,Thinks there are 1000mm in a km
206,Thinks a cylinder is a prism
207,Confuses the terms faces and edges
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. "
210,Thinks the term in a sequence is double the position value
211,Believes displacement continues to increase even when returning to starting point
212,Solves for y=0 instead of given y-value when reading from a quadratic graph
213,Thinks there are 10 mg in a gram
214,Does not understand the 'less than' inequality notation
215,"When asked for a specific term in a sequence, just gives the position number"
216,Believes the smallest number in a set of numbers is always their highest common factor
217,"When adding fractions, adds the numerators and denominators"
218,Does not interpret a sloping gradient as a change in rate
219,Does not know that a right angle is 90 degrees
220,Only multiplies the first term in the expansion of a bracket
221,Thinks ratios are written as 1:total
222,Does not know the meaning of absolute value
223,Mixes up cubing with multiplying by 10
224,Forgets to swap the sign of roots when placing into brackets
225,Confuses frequency of one class with cumulative frequency
226,Thinks rectangles have line symmetry in the diagonals 
227,Ignores a more than question and just states one of the values
228,Divides rather than subtracts when given the command 'less than'
229,Does not account for scale on diagram
230,Thinks 1l = 1 cubic metre
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal
232,"When dividing by a fraction, switches to multiplication without also using the reciprocal"
233,"Cannot estimate the relative volume order, for different objects"
234,Subtracts instead of adds
235,Thinks adjacent angles are equal
236,Thinks corresponding angles sum to 180 degrees
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers"
239,Finds a common multiple but not the lowest common multiple
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds"
241,Thinks co-interior angles sum to 360 degrees
242,Thinks the hundred thousands column is the ten thousands column
243,Identifies a common factor but not the highest common factor
244,Believes the solution of mx + c = 0 is x = m
245,Does not realise that to maintain balance in an equation they must add or subtract the same amount from both sides
246,Does not think a kilogram is a unit of mass
247,Found the percentage but added it to 100%
248,Believes a pie chart makes 360% not 360 degrees
249,Does not understand a denominator represents equal parts
250,Believes a fraction cannot have a numerator of 0
251,"Includes a data point with the value, when asked to find the number of data points below a value"
252,Does not think 'other' is an acceptable category for data
253,Does not recognise that all lengths on a cube are equal
254,Believes all triangle numbers are odd
255,Does not know the meaning of the word regular 
256,Does not reverse the order of operations when solving an equation
257,Uses numerator as whole part of a fraction
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included "
260,Thinks cubing a number means adding 3 to that number
261,When multiplying just writes the numbers next to each other
262,Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle 
263,"Does not understand direction of North East, North West, South East and South West cardinal points"
264,Subtracted rather than divided by a scale factor
265,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised
266,Identifies a letter as a common factor but doesn't identify a number as a common factor
267,Writes the variable before the coefficient in an algebraic term
268,Believes lines of reflection must be vertical or horizontal
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin"
270,Thinks the term polygons only applies to shapes with more than 3 sides
271,Believes triangle numbers are formed differently to the correct way
272,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2
273,Thinks 1l = 1 cubic centimetre
274,Confuses angle of a sector with the radius
275,"When finding a point on a line, assumes the point is always the midpoint"
276,Adds rather than multiplies when scaling up in direct proportion problems
277,Thinks pressure is force per unit volume
278,Believes a power of 2 has no impact on its value
279,Mixes up square rooting and cube rooting
280,Describes lines when asked to describe angles
281,Thinks that if two lines do not intersect on a diagram then they will never intersect and are therefore parallel
282,Does not understand that a point on the line of reflection will stay the same when reflected 
283,Believes reflection in y = -x switches x and y coordinates
284,Believes the gradient of a speed-time graph is the speed
285,Lines up the digits incorrectly when doing an addition involving two numbers with a different amount of digits
286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front"
287,Thinks y = ? is a vertical line through ?
288,Does not break down all factors in a factor tree to primes
289,Writes the numerator and the denominator the wrong way round in a probability
290,Thinks a decreasing sequence cannot be quadratic
291,Thinks a negative y value in a column vector means to move up rather than down
292,Converts fraction to percentage by putting % sign after the denominator
293,Does not understand that similar shapes sides must all have the same scale factor
294,Thinks that only the sides need to be equal for a polygon to be regular
295,Does not know the word and/or does not know the function of a compass
296,Ordered fractions by comparing denominators rather than using equivalent fractions.
297,Forgets you need a compass to draw arcs
298,Confuses a constant with a variable
299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours"
300,Believes a direct proportion graph does not have to start at the origin
301,Thinks you can multiply by a decimal to find a multiple of a number
302,Assumed each part of a fraction diagram is worth 10%
303,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we do the operation inverse to the sign (- if positive, + if negative)"
304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares
305,Does not know the formula for area of a trapezium
306,Added rather than multiplied by a scale factor
307,"When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half"
308,Believes that dividing by 100 gives 10%
309,Believes angles on a straight line add to 90 degrees
310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2"
311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates 
312,"In ratio question where the difference between the sides is given, uses that as the total for one side instead"
313,Believes edges of a 3D shape do not include edges of base
314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power "
315,Has not realised that the answer may be changed by the insertion of brackets
316,Mixes up primary and secondary data types
317,"When multiplying fractions, adds the numerators and multiplies the denominators"
318,"Assumes that converting a decimal percentage to a fraction, they can just convert the decimal to a fraction, instead of writing the decimal over 100."
319,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms"
320,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x"
321,Believes class width multiplied by frequency gives frequency density
322,Believes that rounding must change the number
323,"When measuring a line segment with a ruler, assumes the line starts at 0"
324,Believes the two variables have to add to the same value in inverse proportion
325,Does not check the labelling of the axes 
326,"When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator"
327,Mixes up total and part in ratio
328,Performs addition ahead of multiplication
329,Does not understand a percentage is out of 100
330,"When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation"
331,Does not understand the term factor
332,Confuses reciprocal and quadratic graphs
333,Not considered the y value when reading coordinates
334,"When solving an equation with x in the denominator, thinks the inverse operation is to make it the numerator on the other side"
335,Believes 30% is equivalent to 1/3
336,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places
337,Believes the solution of mx + c = a is x =a
338,Believes only straight lines count as edges on 3D shapes
339,"When dividing, ignores any remainders"
340,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount
341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable
342,Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle
343,Estimates the frequency shown on a pie chart rather than calculating
344,Does not understand that a probability of 0 represents something that is impossible
345,Has treated this like an addition problem and added the ones column.
346,Does not understand how to multiply algebraic terms
347,"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator "
348,Writes times in the afternoon as if 10 is midday on a 24 hour clock
349,"When adding surds, just multiplies the numbers under the surd rather than first trying to simplifying to find like surds"
350,Forgets to carry the tens when doing column multiplication
351,Thinks a chord does not have to start and end at the circumference of the circle.
352,Believes the fx column for calculating mean is value - frequency
353,Does not recognise when one part of a fraction is the negative of the other
354,Believes class width represents frequency in a histogram
355,Thinks the interior angle of a regular polygon is 10n
356,Finds the sum of the missing angles but not the angle being asked
357,Does not understand that in the ratio 1:n the total number of parts would be 1+n 
358,Believes digits of a number are read/written from right to left
359,Confuses random and stratified sampling methods
360,Gives frequency when asked for relative frequency
361,Believes that repeated prime factors are only counted once
362,Believes f(x) - a translates the function right a units
363,Only applies a division to one of multiple terms in a numerator when simplifying an algebraic fraction
364,Thinks they just remove the decimal point when converting a decimal to a percentage
365,Thinks that we cannot calculate the range if values are repeated
366,Does not know the meaning of the identity symbol
367,Does not know that co-interior angles must be in parallel lines
368,Thinks a kite has one pair of parallel sides
369,Forgets to add starting value when calculating new coordinates
370,"When solving simultaneous equations, believes the terms must have the same sign in order to be eliminated."
371,"When dividing fractions, divides by the reciprocal, instead of multiplies"
372,"In ratio question where the difference between the sides is given, uses that as the total"
373,Believes you can add or subtract from inside brackets without expanding when solving an equation
374,Thinks a hexagon has 8 sides.
375,Believes you can only have one mode
376,Unable to equate a division and multiplication to a single division
377,"When asked for the mean of a list of data, gives the mode"
378,"When finding the difference between two points on a time series graph, only uses one of the points. "
379,Finds the y intercept when asked to read the solution to a quadratic equation from a graph
380,Does not understand the first significant value is the first non-zero digit number
381,"When dividing a fraction by an integer, divides both the numerator and denominator by the integer"
382,Does not know how to combine different symbols in Roman numerals
383,confuses cubic and reciprocal graphs
384,"When solving simultaneous equations graphically, they think the solutions are the x-intercepts"
385,"Thinks the reciprocal of n, 1/n = 0.n"
386,Believes that an exterior angle can have a value of 360 degrees
387,Thinks there are 100 seconds in a minute
388,When placing a negative number on a number line student assumes numbers with a greater absolute value are placed to the right.
389,Combines variables with constants when writing a formula from a given situation
390,Believes you find the mode by calculating the mean
391,Mixes up the value of two terms when substituting
392,"Believes you divide 1 by the number of values, rather than the total, when finding the mean"
393,Believes adding coordinates of endpoint and midpoint of a line will give the other endpoint
394,Divides instead of multiplies when multiplying by a decimal
395,"Thinks there are 10,000kg in a tonne"
396,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides
397,When calculating the range does not reorder the data to find the largest number minus the smallest number
398,Does not know that we can use the conservation of perimeter to find missing lengths
399,Confuses place value when rounding to estimate
400,Thinks multiplying a variable by a number is the same as raising that variable to the power of that number
401,"When given the equation of a straight line, believes the first term always gives the gradient, even when the first term is actually c"
402,Does not know the definition of a cone
403,"When rationalising the denominator, confuses the numerator with the denominator"
404,Uses cos when sin is required
405,Believes the only way to find the interior angle of a regular polygon is to subtract the exterior angle from 180.
406,Believes class width multipled by frequency gives the area of the bar in a histogram
407,Does not equate y=-x with x=-y
408,"When multiplying fractions, multiplies both the numerator and denominator"
409,Identifies first decimal place value when asked for first significant figure
410,Believes the size of an angle can be given as a word rather than a number
411,"When identifying the center of rotation, chooses a point with the wrong y-value"
412,Assumes that an enlargement is always from the smaller object to the bigger one
413,"Believes that n/n = n, instead of 1"
414,Divides by the order of the root
415,Incorrectly identifies angles as vertically opposite
416,Believes the intersection of two complements can be found using the complement of the intersection
417,"When reading values from graphs, writes down the wrong units"
418,"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x"
419,"When converting a fraction to a decimal, divides the denominator by the numerator"
420,"When finding bearings, finds the back bearing to what the question is actually asking"
421,Mixes up odd and even numbers
422,Thinks x = y is an axis
423,Does not know the meaning of equilateral
424,Adds 3 decimal places rather than moving 3 places
425,Assumes the third column of a grouped frequency table is always cumulative frequency
426,Believes corresponding angles sum to 90 degrees
427,Answers as if there are 100 minutes in an hour when writing minutes as decimals
428,"When a point is on an axis, gives both coordinates as the value it's at on the axis"
429,"When multiplying a surd by an integer, believes the value under the surd can be swapped with the integer"
430,"When finding bearings, finds the bearing going in the reverse direction to the one stated"
431,Finds interior angle rather than given angle
432,Believes the equation of a straight line is y=-mx-c
433,Believes a negative power results in a negative answer
434,"Believes only angles on parallel lines can be called ""corresponding"""
435,Finds a scale factor but forgets to multiply the original value in proportion questions
436,Does not understand when like terms can be collected
437,Does not recognise that probabilities of all possible outcomes will sum to 1
438,Believes cubing a number means you multiply it by 3
439,Believes gradient = change in y multiplied by change in x
440,Thinks n=0 for the first term in a sequence
441,Does not recognise a unit of volume
442,Confuses cumulative frequency and frequency density
443,Thinks there are 12 hours in 1 day
444,Confuses the value outside of a Venn diagram as the total number of entries in the diagram
445,Counts squares instead of the correct scale when plotting coordinates
446,Repeats the digits twice when squaring a number
447,Believes dividing by 0.1 is the same as dividing by 10
448,Confuses adjacent and opposite sides
449,"Does not realise we can scale the perimeter as a whole, rather than finding individual side lengths"
450,Confuses the terms faces and vertices
451,Does not recognise parallel lines angle rules applied inside a shape
452,"When a variable in an expression has a power, thinks the power applies to the whole expression"
453,Believes qualitative data can be continuous
454,Thinks measures of area must end in squared
455,Subtracts 1 rather than 2 from the number of sides when finding the sum of interior angles
456,Believes you can divide the change by 100 to find the percentage change 
457,Does not know how to calculate volume
458,When finding an input of a function machine thinks you apply the operations given rather than the inverse operation.
459,confuses circumference and area
460,"Believes the graph of x squared + c has the turning point of (-c, 0)"
461,"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value"
462,Thinks that they can combine functions in a function machine before applying them to the input
463,Reads the complement of what is required from a pie chart
464,Believes that you are unable to calculate the sum of the interior angles of an irregular polygon given the number of sides
465,Does not know the diagonals of a square bisect at right angles
466,"When calculating with numbers in standard form, just applies the operation to the number and the power separately"
467,Treats zero as a ten when subtracting
468,Believes you find the frequency for a pie chart sector by calculating its angle divided by the total frequency
469,Believes the position of a sequence cannot be an integer
470,Cannot reflect shape when line of symmetry is diagonal 
471,Believes that the solution to ax + b = 0 is x = -a/b
472,Multiplies the value as if the original recipe was for 1 person
473,Underestimates the impact of the size of images in a misleading statistical diagram
474,Thinks 1l = 100 cubic centimetres
475,Believes the total of a part whole model is always 1 (or equivalent) instead of the given total
476,Thinks Angle-Angle-Angle triangles are congruent
477,"Believes when multiplying fractions you cross multiply top left and bottom right for numerator, and the other diagonal for denominator"
478,Does not know what a square number is
479,Thinks a divide and a negative sign next to each other makes a plus
480,Believes that angles that look like they are a right-angle are always 90 degrees
481,Thinks the inverse of subtraction is multiplication
482,"When simplifying surds, does not understand that the simplified root is what is left after dividing out the largest square number"
483,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression"
484,Mistakes cube root for cubing the number
485,Believes 1 is not a factor of a number
486,Does not square the conversion factor when converting squared units
487,Believes a composite function multiplies the functions together
488,Does not correctly apply the distributive property of multiplication
489,Believes speed = time/distance
490,"Believes that when constructing triangles, all sides should be measured from the same point"
491,Does not know how to calculate the mean
492,"Believes the graph of x squared + c has the turning point of (c, 0)"
493,Thinks you add the number of wholes to the numerator when converting a mixed number to an improper fraction.
494,"When comparing data, only compares one category of data rather than comparing the totals"
495,Thinks converting an integer to a fraction means both the numerator and denominator are equal
496,"When subtracting decimals with a different number of decimals, subtracts one digit from more than one column"
497,Used the digits of the decimal as the denominator
498,Does not understand that in a ratio 1:n that one part of the ratio would be n times bigger than the one part
499,Does not realise ratio in worded problem can be simplified
500,Finds the shaded section rather than the specified section
501,Uses tan when cos is required
502,Believes multiplying a number by its square root gives the square root
503,Ignores partial symbols on pictograms
504,"Given the mean and the amount of numbers, adds to find the total"
505,Believes finding the product of two numbers gives their lowest common multiple
506,Believes that multiplying variables is the same as adding them together
507,Believes the total frequency is the overall total in a grouped table
508,Thinks there are 1000 seconds in an hour
509,Believes speed is distance multiplied by time
510,Believes that a positive x squared coefficient in a quadratic equation results in an n shaped graph
511,Ignores the negative sign when thinking about the value of a term
512,"When asked to solve simultaneous equations, believes they can just find values that work in one equation"
513,Believes they need to multiply the numbers together in a worded HCF question 
514,Believes 0.5absin(c) requires only three sides (potentially confused with cosine rule)
515,Does not know a rectangle is a type of parallelogram 
516,Thinks the inverse of multiplication is addition
517,Assumes triangles are isosceles if they look like they are isosceles
518,Thinks that to decrease by a percentage you multiply by 1+ the decimal equivalent to that percentage
519,"When asked for factors of an algebraic expression, thinks a term will be a factor"
520,Thinks the inverse of addition is multiplication
521,"When asked to triple, writes the digit out three times"
522,Does not count from the centre of enlargement to find the image
523,Believes you cannot have a negative gradient when plotting a linear sequence
524,Does not understand square root
525,Does not understand that a surd is a rational number if the number under the root is a square number
526,Thinks there are 10000mm in a km
527,Does know know equilateral means the same as regular 
528,Does not think that a variable with no coefficient has a coefficient of 1.
529,Believes cumulative frequency is the product rather than sum of frequencies
530,Confuses the formulas for the circumference of a full circle and the perimeter of a sector
531,Thinks when finding a percentage you multiply by the percentage being asked
532,Confuses alternate and opposite angles
533,Does not consider the variable when evaluating an expression that requires substitution.
534,Does not understand what an interior angle is
535,Believes a missing length on a cuboid can be found by doing volume divided by a different length
536,Ignores coefficients when forming an expression from a question
537,Believes you do not need to give the direction when describing a rotation
538,Does not perform calculations in the numerator of a fraction before division by the denominator
539,Does not understand the value of zeros as placeholders
540,Believes the discriminant must be a perfect square for an equation to have real solutions
541,"When asked to find a missing number in a factor tree, finds any factor of the given number rather than the pair of the factor already given."
542,Believes constructing a perpendicular gives an angle of 60 degrees
543,"Thinks that when drawing a plan view, you only include the top layer of the shape"
544,When dividing a decimal by a power of 10 adds zeroes to start of the number ignoring the placement of the initial decimal point
545,"When given the perimeter of a regular polygon, multiplies instead of divides to find each side length"
546,"After multiplying to get a common denominator, simplifies back to the original fractions"
547,Factorises difference of two squares with the same sign in both brackets
548,Believes that a fractional index means you need to find the reciprocal
549,Incorrectly converted cm to m
550,"When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning."
551,Believes a rectangle has four equal sides
552,Thinks the units for speed should not contain a measure of time
553,Confuses an equation with an identity
554,Finds area of one face when asked for volume
555,Only counts visible edges
556,"When describing a translation, counts the corners of squares (including the starting one) rather than the number of jumps between squares."
557,Assumes a fact without considering enough examples
558,"When given a term to term sequence with multiple steps, applies one step per term"
559,Thinks depth is marked on the cross section of a prism
560,Confuses class width and upper bound of the class
561,Misinterprets the order of division in worded problems
562,"When drawing a histogram, believes you plot cumulative frequency on the vertical axis"
